G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
157,157,34.9,6.6,15.2,0.435,3.3,8.5,0.383,3.3,6.6,0.501,0.542,3.5,4,0.884,0.4,2.9,3.3,3.4,1.1,0.2,2,1.9,19.9,Max Abmas
122,116,32.6,4.8,10.8,0.448,2,5.5,0.373,2.8,5.3,0.526,0.542,1.8,2.5,0.714,1,3.4,4.4,1.6,1,0.5,1.7,1.8,13.5,Ochai Agbaji
17,16,27.9,3.4,9.1,0.377,1.9,5.5,0.351,1.5,3.5,0.417,0.484,2.1,3.1,0.692,1.4,4.1,5.5,1.2,0.6,0.4,1.6,2.2,10.9,Marcus Bagley
24,7,24.8,4.1,8.1,0.503,0.5,1.7,0.275,3.6,6.5,0.561,0.531,1.7,2.8,0.621,1.5,2.5,4,4.1,1.5,0.5,2.5,2.2,10.3,Scottie Barnes
72,72,30.5,6.1,10.2,0.596,0.4,1.3,0.319,5.7,9,0.636,0.616,3.3,4.3,0.768,3,7.5,10.5,0.8,0.6,2.6,2.5,2.5,15.9,Charles Bassey
43,30,27.9,5.3,11.5,0.456,1.1,3.4,0.32,4.2,8.1,0.513,0.503,3.4,4.2,0.802,1.6,3.1,4.7,1.5,0.9,0.2,2.1,2.4,15,James Bouknight
43,,20.4,3.2,8.7,0.363,1.9,5.6,0.338,1.3,3.1,0.407,0.471,1.4,1.6,0.857,1.1,2.2,4.4,1.2,0.9,0,1.5,2.1,9.6,Greg Brown
94,81,29.1,4.9,11.4,0.431,2.3,5.9,0.384,2.6,5.4,0.483,0.531,2.1,2.6,0.782,0.5,2.7,3.2,3.5,1.5,0.2,2.4,2.4,14.1,Jared Butler
53,46,33.4,5.4,12.2,0.446,1.1,3.8,0.28,4.4,8.4,0.52,0.489,2.8,3.8,0.745,2.6,5.9,8.5,1,1.1,1,1.2,2.1,14.7,Justin Champagnie
88,81,30.7,5.8,13.5,0.429,1.7,4.9,0.348,4.1,8.6,0.475,0.492,2.8,3.4,0.815,1.6,5.2,6.8,1.4,1.5,1,1.5,1.6,16,Julian Champagnie
15,15,29.7,5.1,11.7,0.432,1.2,3.9,0.305,3.9,7.8,0.496,0.483,2.9,3.7,0.8,0.7,4.1,4.7,1.4,1.5,0.5,1.7,3.2,14.3,Josh Christopher
12,12,33.1,6,15.3,0.391,1.1,4.8,0.228,4.9,10.6,0.465,0.427,7.1,8.6,0.825,0.7,3.6,4.3,8.1,1,0.3,4.2,2.7,20.2,Sharife Cooper
27,26,35.4,6.5,14.8,0.438,2.3,5.7,0.4,4.2,9.1,0.461,0.515,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4,2.5,20.1,Cade Cunningham
90,90,33.2,6.3,13.4,0.47,1.2,3.6,0.345,5.1,9.9,0.516,0.516,2.8,3.8,0.75,0.8,4,4.8,3.9,1.1,0.2,2.7,1.9,16.7,Ayo Dosunmu
91,91,30.8,3.8,9.6,0.394,1.3,3.4,0.377,2.5,6.3,0.404,0.46,2.7,3.5,0.769,0.7,3.5,4.2,3.2,1.1,0.3,2.4,2.8,11.5,David Duke
92,84,31.6,4.6,9.8,0.469,1.6,4.1,0.395,3,5.7,0.522,0.551,2.4,3,0.789,1.7,4.8,6.5,1.2,1,1.3,1.5,2.4,13.3,Kessler Edwards
